repo,user,week,commit_count,pr_created,pr_closed,pr_consumption_rate
chat-langchain,baskaryan,2024-03-11,0.0,8.0,8.0,1.0
chat-langchain,bigsky77,2023-04-03,0.0,1.0,0.0,0.0
chat-langchain,bracesproul,2024-02-12,0.0,1.0,1.0,1.0
chat-langchain,bracesproul,2024-03-04,0.0,2.0,2.0,1.0
chat-langchain,bracesproul,2024-10-14,0.0,3.0,3.0,1.0
chat-langchain,bracesproul,2024-10-21,0.0,1.0,1.0,1.0
chat-langchain,bracesproul,2024-10-28,0.0,1.0,1.0,1.0
chat-langchain,chat19,2024-06-24,0.0,1.0,0.0,0.0
chat-langchain,cognicloudtech,2024-07-01,0.0,2.0,2.0,1.0
chat-langchain,davidx33,2024-10-14,0.0,1.0,1.0,1.0
chat-langchain,davidx33,2024-10-21,0.0,1.0,1.0,1.0
chat-langchain,davidx33,2024-12-02,0.0,2.0,2.0,1.0
chat-langchain,daysm,2023-04-10,0.0,1.0,1.0,1.0
chat-langchain,dosuken123,2023-08-28,0.0,1.0,0.0,0.0
chat-langchain,dtourillon-cropguard,2024-05-27,0.0,1.0,1.0,1.0
chat-langchain,duob-ai,2024-01-01,0.0,1.0,1.0,1.0
chat-langchain,efriis,2023-10-30,0.0,1.0,1.0,1.0
chat-langchain,efriis,2024-05-20,0.0,1.0,1.0,1.0
chat-langchain,efriis,2024-10-28,0.0,1.0,1.0,1.0
chat-langchain,eisemane,2024-05-27,0.0,1.0,1.0,1.0
chat-langchain,ell-hol,2023-06-12,0.0,1.0,0.0,0.0
chat-langchain,eltociear,2023-01-30,0.0,1.0,1.0,1.0
chat-langchain,eyurtsev,2023-09-04,0.0,1.0,1.0,1.0
chat-langchain,ezzcodeezzlife,2023-05-15,0.0,1.0,0.0,0.0
chat-langchain,fengziadmin,2023-06-05,0.0,1.0,0.0,0.0
chat-langchain,floomby,2023-04-03,0.0,1.0,0.0,0.0
chat-langchain,fraga,2023-03-27,0.0,1.0,0.0,0.0
chat-langchain,gadkins,2023-05-01,0.0,1.0,0.0,0.0
chat-langchain,gpt4thewin,2023-04-10,0.0,1.0,0.0,0.0
chat-langchain,hinthornw,2023-08-14,0.0,1.0,1.0,1.0
chat-langchain,hinthornw,2023-08-21,0.0,1.0,1.0,1.0
chat-langchain,hinthornw,2023-09-18,0.0,2.0,2.0,1.0
chat-langchain,hinthornw,2023-09-25,0.0,7.0,7.0,1.0
chat-langchain,hinthornw,2023-10-02,0.0,1.0,1.0,1.0
chat-langchain,hinthornw,2023-10-30,0.0,2.0,2.0,1.0
chat-langchain,hinthornw,2023-11-06,0.0,1.0,1.0,1.0
chat-langchain,hinthornw,2023-12-04,0.0,9.0,9.0,1.0
chat-langchain,hinthornw,2024-01-08,0.0,1.0,1.0,1.0
chat-langchain,hinthornw,2024-03-11,0.0,1.0,1.0,1.0
chat-langchain,hinthornw,2024-08-05,0.0,2.0,2.0,1.0
chat-langchain,hinthornw,2024-10-28,0.0,1.0,1.0,1.0
chat-langchain,hinthornw,2024-12-16,0.0,1.0,1.0,1.0
chat-langchain,honghaianthony,2024-06-10,0.0,1.0,0.0,0.0
chat-langchain,hwchase17,2023-03-06,0.0,1.0,0.0,0.0
chat-langchain,hwchase17,2023-09-11,0.0,1.0,1.0,1.0
chat-langchain,hwchase17,2024-08-19,0.0,1.0,1.0,1.0
chat-langchain,izeye,2023-04-03,0.0,1.0,0.0,0.0
chat-langchain,jacoblee93,2023-08-28,0.0,2.0,2.0,1.0
chat-langchain,jacoblee93,2023-09-04,0.0,1.0,1.0,1.0
chat-langchain,jacoblee93,2023-09-11,0.0,2.0,2.0,1.0
chat-langchain,jacoblee93,2023-09-18,0.0,1.0,1.0,1.0
chat-langchain,jacoblee93,2023-09-25,0.0,7.0,7.0,1.0
chat-langchain,jacoblee93,2023-10-02,0.0,4.0,4.0,1.0
chat-langchain,jacoblee93,2023-10-09,0.0,1.0,1.0,1.0
chat-langchain,jacoblee93,2023-10-16,0.0,1.0,1.0,1.0
chat-langchain,jacoblee93,2023-10-23,0.0,1.0,1.0,1.0
chat-langchain,jacoblee93,2024-01-15,0.0,2.0,2.0,1.0
chat-langchain,jacoblee93,2024-01-22,0.0,9.0,9.0,1.0
chat-langchain,jacoblee93,2024-01-29,0.0,2.0,2.0,1.0
chat-langchain,jacoblee93,2024-02-05,0.0,2.0,2.0,1.0
chat-langchain,jacoblee93,2024-03-11,0.0,1.0,1.0,1.0
chat-langchain,jacoblee93,2024-08-12,0.0,1.0,1.0,1.0
chat-langchain,jbendotnet,2023-04-24,0.0,1.0,0.0,0.0
chat-langchain,jlewi,2023-01-30,0.0,1.0,0.0,0.0
chat-langchain,joaocarlosleme,2023-07-17,0.0,1.0,0.0,0.0
chat-langchain,jvelezmagic,2023-09-25,0.0,1.0,1.0,1.0
chat-langchain,langchain-infra,2023-09-11,0.0,3.0,3.0,1.0
chat-langchain,langchain-infra,2023-09-25,0.0,5.0,5.0,1.0
chat-langchain,langchain-infra,2023-10-09,0.0,2.0,2.0,1.0
chat-langchain,langchain-infra,2023-10-16,0.0,2.0,2.0,1.0
chat-langchain,langchain-infra,2023-10-23,0.0,1.0,1.0,1.0
chat-langchain,langchain-infra,2023-11-06,0.0,1.0,1.0,1.0
chat-langchain,langchain-infra,2024-01-22,0.0,2.0,2.0,1.0
chat-langchain,langchain-infra,2024-03-04,0.0,1.0,1.0,1.0
chat-langchain,langchain-infra,2024-05-27,0.0,1.0,1.0,1.0
chat-langchain,leowalker89,2024-08-05,0.0,2.0,1.0,0.5
chat-langchain,liamlenholm,2023-05-01,0.0,1.0,0.0,0.0
chat-langchain,mazhermon,2024-06-03,0.0,1.0,1.0,1.0
chat-langchain,mazhermon,2024-07-22,0.0,1.0,1.0,1.0
chat-langchain,mcantillon21,2023-08-07,0.0,1.0,1.0,1.0
chat-langchain,mcantillon21,2023-08-28,0.0,2.0,2.0,1.0
chat-langchain,ndesai,2023-06-19,0.0,1.0,0.0,0.0
chat-langchain,newah,2024-11-04,0.0,1.0,1.0,1.0
chat-langchain,nfcampos,2023-09-18,0.0,1.0,1.0,1.0
chat-langchain,nfcampos,2024-03-25,0.0,1.0,1.0,1.0
chat-langchain,pors,2023-04-24,0.0,2.0,0.0,0.0
chat-langchain,prabha-git,2024-05-20,0.0,1.0,1.0,1.0
chat-langchain,prabha-git,2024-05-27,0.0,1.0,1.0,1.0
chat-langchain,prabhur24,2024-05-27,0.0,1.0,1.0,1.0
chat-langchain,r0mdau,2023-06-05,0.0,1.0,0.0,0.0
chat-langchain,raceronskis,2023-04-17,0.0,1.0,1.0,1.0
chat-langchain,rogermt,2024-06-03,0.0,4.0,4.0,1.0
chat-langchain,sail2023,2023-05-01,0.0,1.0,0.0,0.0
chat-langchain,samnoyes,2023-09-11,0.0,1.0,1.0,1.0
chat-langchain,sangyh,2023-02-27,0.0,1.0,1.0,1.0
chat-langchain,sangyh,2023-03-13,0.0,1.0,0.0,0.0
chat-langchain,scy0208,2023-09-04,0.0,1.0,1.0,1.0
chat-langchain,seduerr91,2023-05-29,0.0,1.0,1.0,1.0
chat-langchain,shapor,2023-06-05,0.0,1.0,0.0,0.0
chat-langchain,sid77x,2023-01-30,0.0,1.0,1.0,1.0
chat-langchain,sixhobbits,2023-03-27,0.0,1.0,0.0,0.0
chat-langchain,spatker,2024-04-22,0.0,1.0,1.0,1.0
chat-langchain,tatsuiman,2023-03-06,0.0,1.0,1.0,1.0
chat-langchain,vbarda,2024-05-20,0.0,1.0,1.0,1.0
chat-langchain,vbarda,2024-05-27,0.0,2.0,2.0,1.0
chat-langchain,vbarda,2024-06-03,0.0,3.0,3.0,1.0
chat-langchain,vbarda,2024-06-10,0.0,1.0,1.0,1.0
chat-langchain,vbarda,2024-06-17,0.0,1.0,1.0,1.0
chat-langchain,vbarda,2024-06-24,0.0,2.0,2.0,1.0
chat-langchain,vbarda,2024-07-01,0.0,4.0,4.0,1.0
chat-langchain,vbarda,2024-07-08,0.0,1.0,1.0,1.0
chat-langchain,vbarda,2024-07-15,0.0,4.0,4.0,1.0
chat-langchain,vbarda,2024-07-22,0.0,1.0,1.0,1.0
chat-langchain,vbarda,2024-09-09,0.0,1.0,1.0,1.0
chat-langchain,vbarda,2024-10-14,0.0,4.0,4.0,1.0
chat-langchain,vbarda,2024-11-04,0.0,1.0,1.0,1.0
chat-langchain,vbarda,2024-12-16,0.0,1.0,1.0,1.0
chat-langchain,vbarda,2025-01-06,0.0,1.0,1.0,1.0
chat-langchain,vedran,2023-03-27,0.0,1.0,0.0,0.0
chat-langchain,wangml999,2023-05-08,0.0,1.0,0.0,0.0
chat-langchain,xwjisfather,2024-10-07,0.0,1.0,1.0,1.0
chat-langchain,xwjisfather,2024-10-21,0.0,1.0,0.0,0.0
chat-langchain,xwjisfather,2024-10-28,0.0,1.0,1.0,1.0
chat-langchain,ya0guang,2024-04-01,0.0,1.0,0.0,0.0
chat-langchain,zuck-fredo,2023-05-22,0.0,1.0,0.0,0.0
chat-langchainjs,ChendayUP,2024-07-15,0.0,1.0,0.0,0.0
chat-langchainjs,MariuszKedziora,2024-07-29,0.0,1.0,1.0,1.0
chat-langchainjs,bracesproul,2024-02-05,0.0,4.0,4.0,1.0
chat-langchainjs,bracesproul,2024-02-12,0.0,8.0,8.0,1.0
chat-langchainjs,bracesproul,2024-02-19,0.0,2.0,2.0,1.0
chat-langchainjs,bracesproul,2024-03-04,0.0,3.0,3.0,1.0
chat-langchainjs,bracesproul,2024-04-01,0.0,1.0,1.0,1.0
chat-langchainjs,bracesproul,2024-04-15,0.0,1.0,1.0,1.0
chat-langchainjs,dblugeon,2024-02-12,0.0,1.0,1.0,1.0
chat-langchainjs,dhruvaop,2024-05-20,0.0,1.0,1.0,1.0
chat-langchainjs,nick-w-nick,2025-01-20,0.0,1.0,0.0,0.0
chat-langchainjs,ric9176,2024-04-08,0.0,1.0,0.0,0.0
chat-langchainjs,yangcheng,2024-03-04,0.0,1.0,1.0,1.0
ci,efriis,2024-09-16,0.0,1.0,0.0,0.0
cli,efriis,2023-10-15,1.0,0.0,0.0,
cli,efriis,2023-10-22,44.0,0.0,0.0,
cli,efriis,2023-10-29,0.0,0.0,0.0,
cli,efriis,2023-11-05,0.0,0.0,0.0,
cli,efriis,2023-11-12,0.0,0.0,0.0,
cli,efriis,2023-11-19,0.0,0.0,0.0,
cli,efriis,2023-11-26,0.0,0.0,0.0,
cli,efriis,2023-12-03,0.0,0.0,0.0,
cli,efriis,2023-12-10,0.0,0.0,0.0,
cli,efriis,2023-12-17,0.0,0.0,0.0,
cli,efriis,2023-12-24,0.0,0.0,0.0,
cli,efriis,2023-12-31,0.0,0.0,0.0,
cli,efriis,2024-01-07,0.0,0.0,0.0,
cli,efriis,2024-01-14,0.0,0.0,0.0,
cli,efriis,2024-01-21,0.0,0.0,0.0,
cli,efriis,2024-01-28,0.0,0.0,0.0,
cli,efriis,2024-02-04,0.0,0.0,0.0,
cli,efriis,2024-02-11,0.0,0.0,0.0,
cli,efriis,2024-02-18,0.0,0.0,0.0,
cli,efriis,2024-02-25,0.0,0.0,0.0,
cli,efriis,2024-03-03,0.0,0.0,0.0,
cli,efriis,2024-03-10,0.0,0.0,0.0,
cli,efriis,2024-03-17,0.0,0.0,0.0,
cli,efriis,2024-03-24,0.0,0.0,0.0,
cli,efriis,2024-03-31,0.0,0.0,0.0,
cli,efriis,2024-04-07,0.0,0.0,0.0,
cli,efriis,2024-04-14,0.0,0.0,0.0,
cli,efriis,2024-04-21,0.0,0.0,0.0,
cli,efriis,2024-04-28,0.0,0.0,0.0,
cli,efriis,2024-05-05,0.0,0.0,0.0,
cli,efriis,2024-05-12,0.0,0.0,0.0,
cli,efriis,2024-05-19,0.0,0.0,0.0,
cli,efriis,2024-05-26,0.0,0.0,0.0,
cli,efriis,2024-06-02,0.0,0.0,0.0,
cli,efriis,2024-06-09,0.0,0.0,0.0,
cli,efriis,2024-06-16,0.0,0.0,0.0,
cli,efriis,2024-06-23,0.0,0.0,0.0,
cli,efriis,2024-06-30,0.0,0.0,0.0,
cli,efriis,2024-07-07,0.0,0.0,0.0,
cli,efriis,2024-07-14,0.0,0.0,0.0,
cli,efriis,2024-07-21,0.0,0.0,0.0,
cli,efriis,2024-07-28,0.0,0.0,0.0,
cli,efriis,2024-08-04,0.0,0.0,0.0,
cli,efriis,2024-08-11,0.0,0.0,0.0,
cli,efriis,2024-08-18,0.0,0.0,0.0,
cli,efriis,2024-08-25,0.0,0.0,0.0,
cli,efriis,2024-09-01,0.0,0.0,0.0,
cli,efriis,2024-09-08,0.0,0.0,0.0,
cli,efriis,2024-09-15,0.0,0.0,0.0,
cli,efriis,2024-09-22,0.0,0.0,0.0,
cli,efriis,2024-09-29,0.0,0.0,0.0,
cli,efriis,2024-10-06,0.0,0.0,0.0,
cli,efriis,2024-10-13,0.0,0.0,0.0,
cli,efriis,2024-10-20,0.0,0.0,0.0,
cli,efriis,2024-10-27,0.0,0.0,0.0,
cli,efriis,2024-11-03,0.0,0.0,0.0,
cli,efriis,2024-11-10,0.0,0.0,0.0,
cli,efriis,2024-11-17,0.0,0.0,0.0,
cli,efriis,2024-11-24,0.0,0.0,0.0,
cli,efriis,2024-12-01,0.0,0.0,0.0,
cli,efriis,2024-12-08,0.0,0.0,0.0,
cli,efriis,2024-12-15,0.0,0.0,0.0,
cli,efriis,2024-12-22,0.0,0.0,0.0,
cli,efriis,2024-12-29,0.0,0.0,0.0,
cli,efriis,2025-01-05,0.0,0.0,0.0,
cli,efriis,2025-01-12,0.0,0.0,0.0,
cli,efriis,2025-01-19,0.0,0.0,0.0,
cli,efriis,2025-01-26,0.0,0.0,0.0,
cli,efriis,2025-02-02,0.0,0.0,0.0,
cli,efriis,2025-02-09,0.0,0.0,0.0,
cli,efriis,2025-02-16,0.0,0.0,0.0,
codemirror-json-schema,samnoyes,2024-07-22,0.0,3.0,3.0,1.0
company-researcher,AseemWangoo,2025-01-06,0.0,1.0,0.0,0.0
company-researcher,rlancemartin,2024-11-25,0.0,3.0,2.0,0.6666666666666666
company-researcher,robbie-wasabi,2025-01-13,0.0,1.0,0.0,0.0
company-researcher,spro,2024-12-09,0.0,1.0,1.0,1.0
company-researcher,vbarda,2024-11-25,0.0,1.0,1.0,1.0
company-researcher,vbarda,2024-12-02,0.0,2.0,2.0,1.0
company-researcher,vbarda,2025-01-06,0.0,1.0,0.0,0.0
company-researcher,vbarda,2025-01-20,0.0,1.0,1.0,1.0
company-researcher,vfaraji89,2025-01-20,0.0,1.0,1.0,1.0
competitor-analysis-bot,hinthornw,2024-05-27,0.0,1.0,1.0,1.0
competitor-analysis-bot,hinthornw,2024-06-03,0.0,1.0,1.0,1.0
content-writer,bracesproul,2024-09-16,0.0,14.0,14.0,1.0
content-writer,bracesproul,2024-09-23,0.0,14.0,14.0,1.0
data-enrichment,hinthornw,2024-09-09,0.0,1.0,1.0,1.0
data-enrichment,rlancemartin,2024-09-16,0.0,1.0,1.0,1.0
data-enrichment,rlancemartin,2024-11-25,0.0,1.0,0.0,0.0
data-enrichment-js,bracesproul,2024-08-26,0.0,1.0,1.0,1.0
data-enrichment-js,hinthornw,2024-09-16,0.0,2.0,2.0,1.0
data-enrichment-js,jacoblee93,2024-09-16,0.0,1.0,1.0,1.0
data-enrichment-js,jacoblee93,2025-01-27,0.0,1.0,1.0,1.0
executive-ai-assistant,AMateos91,2025-01-13,0.0,1.0,1.0,1.0
executive-ai-assistant,HaohanTsao,2025-01-20,0.0,1.0,0.0,0.0
executive-ai-assistant,JoeDelghingaro,2025-01-20,0.0,1.0,1.0,1.0
executive-ai-assistant,evertonreis1,2025-01-13,0.0,1.0,0.0,0.0
executive-ai-assistant,iam-SivaManikanta,2025-01-13,0.0,2.0,2.0,1.0
executive-ai-assistant,isahers1,2025-01-20,0.0,2.0,1.0,0.5
executive-ai-assistant,johisa,2025-02-03,0.0,1.0,1.0,1.0
executive-ai-assistant,langchain-infra,2025-01-27,0.0,1.0,1.0,1.0
helm,akira,2024-06-17,0.0,1.0,1.0,1.0
helm,akira,2024-06-24,0.0,1.0,1.0,1.0
helm,andrewnguonly,2024-06-24,0.0,2.0,2.0,1.0
helm,angus-langchain,2024-11-11,0.0,2.0,2.0,1.0
helm,angus-langchain,2024-11-18,0.0,1.0,1.0,1.0
helm,angus-langchain,2025-01-13,0.0,2.0,2.0,1.0
helm,angus-langchain,2025-02-10,0.0,1.0,1.0,1.0
helm,barberscott,2024-07-08,0.0,3.0,3.0,1.0
helm,barberscott,2024-07-15,0.0,2.0,2.0,1.0
helm,barberscott,2024-08-05,0.0,1.0,1.0,1.0
helm,barberscott,2024-08-12,0.0,1.0,1.0,1.0
helm,barberscott,2024-08-26,0.0,1.0,1.0,1.0
helm,barberscott,2024-10-21,0.0,1.0,1.0,1.0
helm,bvs-langchain,2024-04-22,0.0,1.0,1.0,1.0
helm,bvs-langchain,2024-07-01,0.0,2.0,2.0,1.0
helm,bvs-langchain,2024-07-08,0.0,1.0,1.0,1.0
helm,bvs-langchain,2024-09-30,0.0,1.0,1.0,1.0
helm,bvs-langchain,2024-10-21,0.0,2.0,2.0,1.0
helm,bvs-langchain,2024-11-04,0.0,1.0,1.0,1.0
helm,bvs-langchain,2024-11-11,0.0,2.0,2.0,1.0
helm,bvs-langchain,2024-11-18,0.0,1.0,1.0,1.0
helm,bvs-langchain,2024-11-25,0.0,1.0,1.0,1.0
helm,bvs-langchain,2024-12-09,0.0,1.0,1.0,1.0
helm,bvs-langchain,2024-12-16,0.0,1.0,1.0,1.0
helm,bvs-langchain,2025-02-03,0.0,1.0,1.0,1.0
helm,hinthornw,2024-12-09,0.0,1.0,1.0,1.0
helm,jakerachleff,2024-02-05,0.0,1.0,1.0,1.0
helm,langchain-infra,2023-10-16,0.0,12.0,12.0,1.0
helm,langchain-infra,2023-10-23,0.0,1.0,1.0,1.0
helm,langchain-infra,2023-10-30,0.0,2.0,2.0,1.0
helm,langchain-infra,2023-11-13,0.0,1.0,1.0,1.0
helm,langchain-infra,2023-11-20,0.0,2.0,2.0,1.0
helm,langchain-infra,2023-12-04,0.0,2.0,2.0,1.0
helm,langchain-infra,2023-12-11,0.0,11.0,11.0,1.0
helm,langchain-infra,2023-12-18,0.0,5.0,5.0,1.0
helm,langchain-infra,2024-01-01,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-01-08,0.0,6.0,6.0,1.0
helm,langchain-infra,2024-01-15,0.0,3.0,3.0,1.0
helm,langchain-infra,2024-01-22,0.0,11.0,11.0,1.0
helm,langchain-infra,2024-01-29,0.0,5.0,5.0,1.0
helm,langchain-infra,2024-02-05,0.0,4.0,4.0,1.0
helm,langchain-infra,2024-02-19,0.0,4.0,4.0,1.0
helm,langchain-infra,2024-02-26,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-03-04,0.0,1.0,1.0,1.0
helm,langchain-infra,2024-03-11,0.0,1.0,1.0,1.0
helm,langchain-infra,2024-03-18,0.0,1.0,1.0,1.0
helm,langchain-infra,2024-03-25,0.0,4.0,4.0,1.0
helm,langchain-infra,2024-04-01,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-04-15,0.0,4.0,4.0,1.0
helm,langchain-infra,2024-04-22,0.0,1.0,1.0,1.0
helm,langchain-infra,2024-05-06,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-05-13,0.0,3.0,3.0,1.0
helm,langchain-infra,2024-05-20,0.0,1.0,1.0,1.0
helm,langchain-infra,2024-06-03,0.0,1.0,1.0,1.0
helm,langchain-infra,2024-06-17,0.0,3.0,3.0,1.0
helm,langchain-infra,2024-06-24,0.0,6.0,6.0,1.0
helm,langchain-infra,2024-07-01,0.0,6.0,6.0,1.0
helm,langchain-infra,2024-07-08,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-07-15,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-07-22,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-07-29,0.0,4.0,4.0,1.0
helm,langchain-infra,2024-08-05,0.0,3.0,3.0,1.0
helm,langchain-infra,2024-08-12,0.0,1.0,1.0,1.0
helm,langchain-infra,2024-08-19,0.0,1.0,1.0,1.0
helm,langchain-infra,2024-08-26,0.0,4.0,4.0,1.0
helm,langchain-infra,2024-09-02,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-09-09,0.0,3.0,3.0,1.0
helm,langchain-infra,2024-09-16,0.0,3.0,3.0,1.0
helm,langchain-infra,2024-09-23,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-10-21,0.0,1.0,1.0,1.0
helm,langchain-infra,2024-10-28,0.0,5.0,5.0,1.0
helm,langchain-infra,2024-11-04,0.0,3.0,3.0,1.0
helm,langchain-infra,2024-11-11,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-11-18,0.0,1.0,1.0,1.0
helm,langchain-infra,2024-11-25,0.0,6.0,6.0,1.0
helm,langchain-infra,2024-12-02,0.0,2.0,2.0,1.0
helm,langchain-infra,2024-12-09,0.0,4.0,4.0,1.0
helm,langchain-infra,2025-01-06,0.0,1.0,1.0,1.0
helm,langchain-infra,2025-01-20,0.0,2.0,2.0,1.0
helm,langchain-infra,2025-01-27,0.0,4.0,4.0,1.0
helm,langchain-infra,2025-02-03,0.0,3.0,2.0,0.6666666666666666
helm,langchain-infra,2025-02-17,0.0,1.0,1.0,1.0
helm,lc-arjun,2024-11-04,0.0,1.0,1.0,1.0
helm,nfcampos,2024-03-04,0.0,2.0,2.0,1.0
httpcore,nfcampos,2024-10-07,0.0,7.0,7.0,1.0
integration-repo-template,efriis,2024-02-26,0.0,4.0,4.0,1.0
integration-repo-template,efriis,2024-03-25,0.0,3.0,3.0,1.0
integration-repo-template,efriis,2024-07-08,0.0,2.0,2.0,1.0
integration-repo-template,efriis,2024-08-26,0.0,1.0,1.0,1.0
integration-repo-template,efriis,2024-09-23,0.0,2.0,2.0,1.0
integration-repo-template,efriis,2024-10-21,0.0,1.0,1.0,1.0
integration-repo-template,efriis,2024-10-28,0.0,1.0,1.0,1.0
integration-repo-template,efriis,2024-11-04,0.0,2.0,2.0,1.0
integration-repo-template,efriis,2024-11-11,0.0,1.0,1.0,1.0
intro-to-langsmith,nhuang-lc,2024-12-30,0.0,1.0,1.0,1.0
kork,Sachin-Bhat,2024-07-15,0.0,1.0,0.0,0.0
kork,eltociear,2023-08-28,0.0,1.0,1.0,1.0
kork,eyurtsev,2023-05-01,0.0,6.0,6.0,1.0
kork,eyurtsev,2023-05-08,0.0,10.0,10.0,1.0
